time,value
1959.0,315.42
1959.0833333333399,316.31
1959.16666666668,316.5
1959.2500000000198,317.56
1959.3333333333603,318.13
1959.4166666667002,318.0
1959.50000000004,316.39
1959.58333333338,314.65
1959.66666666672,313.68
1959.75000000006,313.18
1959.8333333333999,314.66
1959.91666666675,315.43
1960.0000000000898,316.27
1960.0833333334301,316.81
1960.16666666677,317.42
1960.2500000001103,318.87
1960.33333333345,319.87
1960.4166666667898,319.43
1960.50000000013,318.01
1960.58333333347,315.74
1960.6666666668102,314.0
1960.75000000015,313.68
1960.83333333349,314.84
1960.9166666668302,316.03
1961.00000000017,316.73
1961.0833333335102,317.54
1961.16666666685,318.38
1961.2500000001899,319.31
1961.33333333353,320.42
1961.4166666668698,319.61
1961.5000000002103,318.42
1961.5833333335502,316.63
1961.6666666669,314.83
1961.7500000002399,315.16
1961.83333333358,315.94
1961.9166666669198,316.85
1962.0000000002601,317.78
1962.0833333336,318.4
1962.1666666669396,319.53
1962.2500000002801,320.42
1962.33333333362,320.85
1962.41666666696,320.45
1962.5000000003,319.45
1962.5833333336398,317.25
1962.66666666698,316.11
1962.75000000032,315.27
1962.8333333336602,316.53
1962.916666667,317.53
1963.00000000034,318.58
1963.08333333368,318.92
1963.1666666670199,319.7
1963.2500000003602,321.22
1963.3333333337,322.08
1963.4166666670399,321.31
1963.5000000003897,319.58
1963.5833333337303,317.61
1963.66666666707,316.05
1963.7500000004102,315.83
1963.83333333375,316.91
1963.9166666670899,318.2
1964.00000000043,319.41
1964.0833333337698,320.07
1964.1666666671103,320.74
1964.2500000004502,321.4
1964.33333333379,322.06
1964.4166666671301,321.73
1964.50000000047,320.27
1964.58333333381,318.54
1964.66666666715,316.54
1964.7500000004898,316.71
1964.83333333383,317.53
1964.9166666671697,318.55
1965.0000000005102,319.27
1965.08333333385,320.28
1965.16666666719,320.73
1965.2500000005398,321.97
1965.33333333388,322.0
1965.41666666722,321.71
1965.5000000005602,321.05
1965.5833333339,318.71
